,barcode,predicted categories,wrong prediction,missed prediction
0,4014972150218,[{'en:sausages': 0.5560016}],[],"['en:german-sausages', 'en:meats', 'en:prepared-meats']"
2,0028400144513,[{'en:snacks': 0.97017205}],"[{'en:appetizers': 0.66402876}, {'en:chips-and-fries': 0.63559175}, {'en:corn-chips': 0.6083531}, {'en:crisps': 0.7244073}, {'en:salty-snacks': 0.6829282}]",[]
7,8435037800552,"[{'en:cereals-and-potatoes': 0.9788399}, {'en:plant-based-foods': 0.98032284}, {'en:plant-based-foods-and-beverages': 0.98622155}]","[{'en:breakfast-cereals': 0.9025713}, {'en:breakfasts': 0.86987454}, {'en:cereals-and-their-products': 0.9695122}, {'en:mueslis': 0.75474787}]",[]
8,0036800403581,[],[],['en:frozen-foods']
11,7617027716345,"[{'en:cheeses': 0.97718656}, {'en:dairies': 0.9915833}, {'en:fermented-foods': 0.98883665}, {'en:fermented-milk-products': 0.99000853}]",[{'en:cooked-pressed-cheeses': 0.66300756}],[]
12,0041190023691,"[{'en:beverages': 0.9952415}, {'en:carbonated-drinks': 0.5966257}]",[],"['en:sodas', 'en:tonic-water', 'en:alcoholic-beverages']"
13,0041415059085,"[{'en:groceries': 0.9723191}, {'en:ketchup': 0.89218926}, {'en:sauces': 0.9703078}, {'en:tomato-sauces': 0.8607563}]",[],['en:tomato-ketchup']
15,7502244270155,[],"[{'en:dips': 0.6513106}, {'en:groceries': 0.9849919}, {'en:sauces': 0.9658097}]","['en:cheese-spreads', 'en:fermented-foods', 'en:spreads', 'en:fermented-milk-products', 'en:dairies', 'en:salted-spreads', 'en:cheeses', 'en:pasteurized-cheeses']"
17,0999482000571,[{'en:snacks': 0.9271087}],"[{'en:biscuits': 0.57908165}, {'en:sweet-snacks': 0.68408346}]",[]
18,8003100856685,"[{'en:beverages': 0.991884}, {'en:fruit-based-beverages': 0.8715643}, {'en:fruit-juices': 0.5787205}, {'en:juices-and-nectars': 0.7872584}, {'en:plant-based-beverages': 0.9213054}, {'en:plant-based-foods-and-beverages': 0.8777493}]",[],['en:pineapple-juices']
20,4104760429159,[{'en:beverages': 0.94556016}],[{'en:waters': 0.50812155}],[]
21,29096800,"[{'en:pickled-capers': 0.8679486}, {'en:pickles': 0.8992768}, {'en:plant-based-foods': 0.99179643}, {'en:plant-based-foods-and-beverages': 0.98374975}, {'en:plant-based-pickles': 0.83095753}]",[],"['en:groceries', 'en:condiments']"
22,5057753924553,"[{'en:breads': 0.88004255}, {'en:cereals-and-potatoes': 0.8625219}, {'en:plant-based-foods': 0.8768816}, {'en:plant-based-foods-and-beverages': 0.8838637}]",[],"['en:wheat-flatbreads', 'en:white-breads', 'en:wheat-breads', 'en:flatbreads']"
23,3435660738234,"[{'en:meats': 0.9975663}, {'en:poultry-sausages': 0.9103304}, {'en:prepared-meats': 0.98704743}, {'en:sausages': 0.96623343}]",[],['en:poultries']
25,3254560105959,"[{'en:breaded-fish': 0.63374394}, {'en:breaded-products': 0.53072834}, {'en:fish-fillets': 0.7796981}, {'en:fishes': 0.97519857}, {'en:pollock-fillets': 0.56319124}, {'en:pollocks': 0.50670046}, {'en:seafood': 0.9715359}]",[],['en:fish-preparations']
28,7613287161819,"[{'en:cocoa-and-its-products': 0.57120085}, {'en:snacks': 0.7707006}, {'en:sweet-snacks': 0.7713354}]",[],"['en:milk-chocolates', 'en:chocolates']"
30,2139890001939,"[{'en:apples': 0.6304572}, {'en:fruits-and-vegetables-based-foods': 0.9652458}, {'en:fruits-based-foods': 0.8401873}, {'en:plant-based-foods': 0.99490964}, {'en:plant-based-foods-and-beverages': 0.9982746}]",[],['en:fruits']
33,3700527203713,"[{'en:beverages': 0.9598135}, {'en:fruit-based-beverages': 0.9073796}, {'en:fruit-nectars': 0.9443458}, {'en:juices-and-nectars': 0.786844}, {'en:plant-based-beverages': 0.9474672}, {'en:plant-based-foods-and-beverages': 0.8471315}]",[],"['en:cherry-nectars', 'en:sweetened-beverages']"
35,3257985023143,"[{'en:breads': 0.97891617}, {'en:cereals-and-potatoes': 0.97766876}, {'en:plant-based-foods': 0.99326384}, {'en:plant-based-foods-and-beverages': 0.9930347}]",[{'en:pre-baked-breads': 0.6695385}],['en:baguettes']
36,5410038216000,"[{'en:breakfasts': 0.92673814}, {'en:spreads': 0.79615605}, {'en:sweet-spreads': 0.9056428}]",[{'en:sweeteners': 0.60181755}],"['en:chocolate-spreads', 'fr:pates-a-tartiner']"
38,5000169567425,"[{'en:cocoa-and-its-products': 0.8332728}, {'en:snacks': 0.9734242}, {'en:sweet-snacks': 0.96613264}]","[{'en:chocolate-candies': 0.5442679}, {'en:confectioneries': 0.7528051}]","['en:milk-chocolates', 'en:chocolates']"
39,4019339487136,"[{'en:common-beans': 0.8957783}, {'en:legume-seeds': 0.8621564}, {'en:legumes': 0.9745614}, {'en:legumes-and-their-products': 0.9607711}, {'en:plant-based-foods': 0.96084034}, {'en:plant-based-foods-and-beverages': 0.98419714}, {'en:pulses': 0.8772175}, {'en:red-beans': 0.83326006}, {'en:red-kidney-beans': 0.7521174}, {'en:seeds': 0.872249}]",[],"['en:canned-foods', 'en:canned-legumes', 'en:canned-red-kidney-beans', 'en:canned-common-beans', 'en:canned-plant-based-foods']"
40,8715700404318,"[{'en:groceries': 0.9744592}, {'en:ketchup': 0.9235519}, {'en:sauces': 0.9805176}, {'en:tomato-sauces': 0.9106468}]",[],['en:tomato-ketchup']
43,0627933022796,[{'en:dietary-supplements': 0.76008224}],[],"['en:bodybuilding-supplements', 'en:bcaa']"
46,3270160049769,"[{'en:fishes': 0.84545505}, {'en:frozen-foods': 0.52944523}, {'en:seafood': 0.99129593}]",[],"['en:frozen-seafood', 'en:frozen-fishes', 'en:greenland-halibut']"
47,8431876105483,"[{'en:canned-fishes': 0.7387103}, {'en:canned-foods': 0.656983}, {'en:canned-tunas': 0.6937004}, {'en:fishes': 0.9583051}, {'en:seafood': 0.989254}, {'en:tunas': 0.93632746}, {'en:tunas-in-oil': 0.5473278}]",[],"['en:tuna-in-olive-oil', 'es:atun-claro-en-aceite-de-oliva']"
48,4058172366222,"[{'en:meat-analogues': 0.97636265}, {'en:plant-based-foods': 0.97097063}, {'en:plant-based-foods-and-beverages': 0.96645796}, {'en:tofu': 0.7023198}]",[],['en:legumes-and-their-products']
49,3175681121652,"[{'en:biscuits-and-cakes': 0.62275124}, {'en:snacks': 0.5692942}, {'en:sweet-snacks': 0.54099995}]",[],"['en:desserts', 'en:biscuits']"
50,20260262,[],"[{'en:cured-sausages': 0.65823734}, {'en:meats': 0.74866533}, {'en:prepared-meats': 0.7299244}, {'en:salami': 0.70318115}]","['en:fruits-and-vegetables-based-foods', 'en:plant-based-foods-and-beverages', 'en:vegetable-rods', 'en:vegetables-based-foods', 'en:leeks', 'en:plant-based-foods']"
53,3770002743133,"[{'en:dairies': 0.98694646}, {'en:dairy-desserts': 0.8995465}, {'en:desserts': 0.80818367}, {'en:fermented-foods': 0.9456557}, {'en:fermented-milk-products': 0.93729806}, {'fr:fromages-blancs': 0.88691676}]",[],['en:cheeses']
56,3222476560919,"[{'en:fish-and-meat-and-eggs': 0.9946513}, {'en:foies-gras': 0.9991487}, {'en:foies-gras-from-ducks': 0.98347044}]",[],"['en:block-of-foie-gras', 'fr:bloc-de-foie-gras-avec-morceaux']"
57,0060410017982,"[{'en:appetizers': 0.847651}, {'en:chips-and-fries': 0.72874916}, {'en:crisps': 0.83600813}, {'en:salty-snacks': 0.86727655}, {'en:snacks': 0.98897165}]",[{'en:corn-chips': 0.63889754}],[]
58,0085239665169,"[{'en:beverages': 0.9389075}, {'en:plant-based-beverages': 0.9347458}, {'en:plant-based-foods-and-beverages': 0.9153764}]",[],"['en:concentrated-fruit-juices', 'en:concentrated-apple-juices', 'en:fruit-juices', 'en:juices-and-nectars', 'en:fruit-based-beverages', 'en:apple-juices']"
59,3324440442556,"[{'en:cheeses': 0.921494}, {'en:dairies': 0.97621346}, {'en:fermented-foods': 0.94712913}, {'en:fermented-milk-products': 0.9536483}, {'en:raclette': 0.9073095}]",[],"['en:sliced-cheeses', 'en:pasteurized-cheeses']"
61,0888849000647,[{'en:snacks': 0.6607379}],"[{'en:bodybuilding-supplements': 0.5988358}, {'en:dietary-supplements': 0.68624157}, {'en:protein-bars': 0.58391845}]",[]
62,7610807147988,"[{'en:desserts': 0.9244919}, {'en:frozen-desserts': 0.9667578}, {'en:frozen-foods': 0.85690343}, {'en:ice-creams': 0.68121356}, {'en:ice-creams-and-sorbets': 0.8487721}]",[],['en:ice-cream-cones']
63,4002221032163,[{'en:beverages': 0.99714077}],[{'en:iced-teas': 0.839973}],"['en:plant-based-foods-and-beverages', 'en:hot-beverages', 'en:tea-bags', 'en:teas', 'en:plant-based-beverages']"
67,0028300000360,[{'en:milks': 0.56551903}],[],['en:dairies']
68,0705432012934,[],[{'en:meals': 0.51986486}],['en:sandwiches']
69,8414606447015,"[{'en:green-olives': 0.932312}, {'en:marinated-olives': 0.62035376}, {'en:olive-tree-products': 0.9260367}, {'en:olives': 0.95307064}, {'en:pickles': 0.9685848}, {'en:plant-based-foods': 0.9877889}, {'en:plant-based-foods-and-beverages': 0.9924321}, {'en:plant-based-pickles': 0.9553287}]","[{'en:cracked-marinated-green-olives': 0.63620675}, {'en:cracked-olives': 0.5369892}, {'en:green-cracked-olives': 0.57294655}]","['en:whole-green-olives', 'en:whole-marinated-green-olives', 'en:whole-olives']"
71,8593893767003,[],"[{'en:legumes-and-their-products': 0.75535405}, {'en:plant-based-foods-and-beverages': 0.6774493}]","['en:desserts', 'en:non-dairy-desserts', 'en:soy-desserts', 'en:soy-dessert-with-fruits']"
72,01796551,[{'en:beverages': 0.8613819}],"[{'en:cereal-milks': 0.8892505}, {'en:cereals-and-potatoes': 0.880257}, {'en:cereals-and-their-products': 0.9263468}, {'en:milk-substitute': 0.9410924}, {'en:plant-based-beverages': 0.8327315}, {'en:plant-based-foods': 0.90162754}, {'en:plant-based-foods-and-beverages': 0.9695952}, {'en:plant-milks': 0.93684185}, {'en:rice-milks': 0.77958274}]",[]
79,7898174850841,[],"[{'en:fruits-and-vegetables-based-foods': 0.8474218}, {'en:mushrooms-and-their-products': 0.8064556}, {'en:vegetables-based-foods': 0.53040767}]",['en:fresh-foods']
84,3596710076079,"[{'en:canned-cereals': 0.8625783}, {'en:canned-corn': 0.86645675}, {'en:canned-foods': 0.6579684}, {'en:canned-plant-based-foods': 0.67978114}, {'en:canned-sweet-corn': 0.6401093}, {'en:canned-vegetables': 0.7314532}, {'en:cereals-and-potatoes': 0.92192507}, {'en:cereals-and-their-products': 0.86084855}, {'en:fruits-and-vegetables-based-foods': 0.71970886}, {'en:plant-based-foods': 0.9941776}, {'en:plant-based-foods-and-beverages': 0.9932727}, {'en:vegetables-based-foods': 0.7561389}]",[{'en:corn': 0.52610403}],[]
87,3023290624302,[{'en:dairies': 0.9315849}],"[{'en:fermented-foods': 0.8638553}, {'en:fermented-milk-products': 0.8665894}, {'en:yogurts': 0.6195684}]","['en:desserts', 'fr:gateaux-de-riz', 'en:dairy-desserts']"
89,8530240030083,"[{'en:plant-based-foods': 0.71332115}, {'en:plant-based-foods-and-beverages': 0.72264254}]","[{'en:canned-foods': 0.5789146}, {'en:canned-plant-based-foods': 0.5142998}]",['en:coffees']
91,20237196,[],"[{'en:confectioneries': 0.926713}, {'en:snacks': 0.98161316}, {'en:sweet-snacks': 0.95602447}]","['en:fruits-and-vegetables-based-foods', 'en:desserts', 'en:plant-based-foods-and-beverages', 'en:compotes', 'en:apple-compotes', 'en:fruits-based-foods', 'en:plant-based-foods', 'fr:compotes-pommes-banane']"
92,3760270210123,"[{'en:legume-seeds': 0.70567644}, {'en:legumes': 0.88750046}, {'en:legumes-and-their-products': 0.7987493}, {'en:plant-based-foods': 0.99013364}, {'en:plant-based-foods-and-beverages': 0.9916317}, {'en:pulses': 0.6983627}, {'en:seeds': 0.85361326}]",[],"['en:dried-pink-lentils', 'en:red-lentils', 'en:lentils']"
94,0200030032525,"[{'en:dried-fruits': 0.825123}, {'en:dried-plant-based-foods': 0.8212055}, {'en:dried-products': 0.8413999}, {'en:fruits-and-vegetables-based-foods': 0.66511333}, {'en:fruits-based-foods': 0.6803069}, {'en:plant-based-foods': 0.84261453}, {'en:plant-based-foods-and-beverages': 0.8299028}]",[],"['en:dried-coconut', 'en:dried-coconut-chips']"
95,8435173004067,"[{'en:chickpeas': 0.76095074}, {'en:legume-seeds': 0.6966659}, {'en:legumes': 0.95012414}, {'en:legumes-and-their-products': 0.9359772}, {'en:plant-based-foods': 0.9544825}, {'en:plant-based-foods-and-beverages': 0.97256595}, {'en:pulses': 0.706279}, {'en:seeds': 0.7627448}]","[{'en:canned-chickpeas': 0.63583076}, {'en:canned-foods': 0.71185166}, {'en:canned-legumes': 0.67126477}, {'en:canned-plant-based-foods': 0.6291014}]",[]
96,3278930006639,"[{'en:dessert-sauces': 0.741221}, {'en:fruits-and-vegetables-based-foods': 0.8272215}, {'en:fruits-based-foods': 0.85217905}, {'en:fruits-coulis': 0.9028162}, {'en:groceries': 0.57575774}, {'en:plant-based-foods': 0.92959195}, {'en:plant-based-foods-and-beverages': 0.95604944}]",[],"['en:blackcurrant-coulis', 'en:sauces']"
98,4061458127400,"[{'en:biscuits-and-cakes': 0.93733203}, {'en:cakes': 0.89292836}]",[{'en:sweet-snacks': 0.5246922}],"['en:pies', 'en:sweet-pies']"
104,0011225047732,[{'en:biscuits-and-cakes': 0.73861593}],"[{'en:appetizers': 0.6381017}, {'en:crackers': 0.67977726}, {'en:salty-snacks': 0.68760407}, {'en:snacks': 0.7627512}]",[]
106,3760148295498,[],"[{'en:fishes': 0.5998388}, {'en:seafood': 0.7742977}]","['en:terrines', 'en:fish-terrines', 'en:salmon-terrines']"
107,0639277226716,[{'en:biscuits-and-cakes': 0.9281977}],[],"['en:crackers', 'en:appetizers', 'en:salty-snacks', 'en:snacks']"
109,0041318251852,[{'en:snacks': 0.98320687}],"[{'en:appetizers': 0.73617005}, {'en:chips-and-fries': 0.6774145}, {'en:corn-chips': 0.76686263}, {'en:crisps': 0.73440456}, {'en:salty-snacks': 0.7007052}]",[]
110,0077700000265,[],"[{'en:biscuits-and-cakes': 0.6548252}, {'en:cakes': 0.5518647}]","['en:desserts', 'en:frozen-foods', 'en:frozen-desserts']"
111,7613356221444,"[{'en:beverages': 0.937174}, {'en:green-teas': 0.7592473}, {'en:hot-beverages': 0.70722604}, {'en:plant-based-beverages': 0.7016425}, {'en:plant-based-foods-and-beverages': 0.7553741}, {'en:teas': 0.75069135}]",[],['en:tea-bags']
113,4061458181259,"[{'en:breakfast-cereals': 0.99246}, {'en:breakfasts': 0.99238425}, {'en:cereals-and-potatoes': 0.99669695}, {'en:cereals-and-their-products': 0.9926939}, {'en:mueslis': 0.9769045}, {'en:plant-based-foods': 0.9902606}, {'en:plant-based-foods-and-beverages': 0.9947741}]",[],"['en:spelts', 'en:wheats', 'en:seeds', 'en:cereal-grains', 'en:mueslis-with-chocolate']"
118,0041498265809,"[{'en:fats': 0.9989456}, {'en:plant-based-foods': 0.9938179}, {'en:plant-based-foods-and-beverages': 0.99663883}, {'en:vegetable-fats': 0.9975872}, {'en:vegetable-oils': 0.9958293}]",[],['en:rapeseed-oils']
119,4311596427819,"[{'en:plant-based-foods': 0.96663815}, {'en:plant-based-foods-and-beverages': 0.96924436}]","[{'en:cherries': 0.6369194}, {'en:fruits': 0.53865385}, {'en:fruits-and-vegetables-based-foods': 0.909606}, {'en:fruits-based-foods': 0.8828461}]","['en:desserts', 'en:canned-fruits', 'en:cherries-in-syrup', 'en:canned-foods', 'en:fruits-in-syrup', 'en:canned-plant-based-foods']"
